effects,name,pageUrl
Relaxed; Happy; Focused; Uplifted; Euphoric,$100 OG,https://www.leafly.com/hybrid/100-og
Happy; Relaxed; Dry Mouth; Uplifted; Energetic,13 Dawgs,https://www.leafly.com/hybrid/13-dawgs
Relaxed; Uplifted; Happy; Euphoric; Creative,3 Kings,https://www.leafly.com/hybrid/3-kings
Relaxed; Sleepy; Happy; Euphoric; Hungry,501st OG,https://www.leafly.com/hybrid/501st-og
Relaxed; Happy; Euphoric; Uplifted; Creative,707 Headband,https://www.leafly.com/hybrid/707-headband
Relaxed; Focused; Hungry; Uplifted; Talkative,A-Dub,https://www.leafly.com/hybrid/a-dub
Relaxed; Uplifted; Euphoric; Energetic; Tingly,A-Train,https://www.leafly.com/hybrid/a-train
Relaxed; Happy; Focused; Uplifted; Energetic,ACDC,https://www.leafly.com/hybrid/acdc
Happy; Relaxed; Euphoric; Uplifted; Creative,AK-47,https://www.leafly.com/hybrid/ak-47
Happy; Relaxed; Uplifted; Euphoric; Energetic,AK-48,https://www.leafly.com/hybrid/ak-48
Creative; Dry Eyes; Dry Mouth; Euphoric; Giggly,Aberdeen,https://www.leafly.com/hybrid/aberdeen
Happy; Euphoric; Focused; Relaxed; Giggly,Afghan Diesel,https://www.leafly.com/hybrid/afghan-diesel
Relaxed; Euphoric; Happy; Uplifted; Creative,Afghan Haze,https://www.leafly.com/hybrid/afghan-haze
Euphoric; Relaxed; Creative; Happy; Uplifted,Afghanica,https://www.leafly.com/hybrid/afghanica
Euphoric; Happy; Giggly; Relaxed; Uplifted,Afwreck,https://www.leafly.com/hybrid/afwreck
Happy; Uplifted; Energetic; Relaxed; Euphoric,Agent Orange,https://www.leafly.com/hybrid/agent-orange
Creative; Euphoric; Focused; Relaxed; Tingly,Alaska Thunder Grape,https://www.leafly.com/hybrid/alaska-thunder-grape
Relaxed; Euphoric; Hungry; Happy; Creative,Albert Walker,https://www.leafly.com/hybrid/albert-walker
Euphoric; Focused; Happy; Hungry; Talkative,Alchemy,https://www.leafly.com/hybrid/alchemy
,Alf,https://www.leafly.com/hybrid/alf
Happy; Euphoric; Relaxed; Uplifted; Hungry,Alien Asshat,https://www.leafly.com/hybrid/alien-asshat
Creative; Happy; Uplifted; Euphoric; Energetic,Alien Hallucination,https://www.leafly.com/hybrid/alien-hallucination
Creative; Happy; Energetic; Focused; Relaxed,Alien Inferno,https://www.leafly.com/hybrid/alien-inferno
Relaxed; Euphoric; Happy; Uplifted; Creative,Alien OG,https://www.leafly.com/hybrid/alien-og
Euphoric; Happy; Relaxed; Uplifted; Creative,Alien Reunion,https://www.leafly.com/hybrid/alien-reunion
Relaxed; Euphoric; Happy; Creative; Uplifted,Alien Rock Candy,https://www.leafly.com/hybrid/alien-rock-candy
Creative; Happy; Hungry; Relaxed,Alien Sour Apple,https://www.leafly.com/hybrid/alien-sour-apple
Happy; Energetic; Creative; Euphoric; Hungry,Alohaberry,https://www.leafly.com/hybrid/alohaberry
Relaxed; Sleepy; Hungry; Euphoric; Happy,Alpha OG,https://www.leafly.com/hybrid/alpha-og
Creative; Energetic; Uplifted; Aroused; Euphoric,Alpine Blue,https://www.leafly.com/hybrid/alpine-blue
Happy; Euphoric; Uplifted; Relaxed; Creative,Ambrosia,https://www.leafly.com/hybrid/ambrosia
Happy; Hungry; Relaxed; Euphoric; Focused,American Dream,https://www.leafly.com/hybrid/american-dream
,Amethyst,https://www.leafly.com/hybrid/amethyst
Relaxed; Happy; Euphoric; Uplifted; Sleepy,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies
Uplifted; Creative; Energetic; Euphoric; Relaxed,Apollo 11,https://www.leafly.com/hybrid/apollo-11
Euphoric; Uplifted; Happy; Relaxed; Hungry,Apollo 13,https://www.leafly.com/hybrid/apollo-13
Euphoric; Giggly; Relaxed; Uplifted; Energetic,Appalachia,https://www.leafly.com/hybrid/appalachia
Creative; Energetic; Euphoric; Focused; Happy,Arctic Sun,https://www.leafly.com/hybrid/arctic-sun
Relaxed; Creative; Euphoric; Energetic; Happy,ArcticBlue,https://www.leafly.com/hybrid/arcticblue
Euphoric; Relaxed; Happy; Uplifted; Giggly,Armageddon,https://www.leafly.com/hybrid/armageddon
Relaxed; Sleepy; Aroused; Dizzy; Euphoric,Armagnac,https://www.leafly.com/hybrid/armagnac
Relaxed; Happy; Euphoric; Uplifted; Creative,Ash,https://www.leafly.com/hybrid/ash
Euphoric; Happy; Relaxed; Uplifted; Hungry,Atmosphere,https://www.leafly.com/hybrid/atmosphere
Happy; Relaxed; Euphoric; Energetic; Talkative,Atomic Goat,https://www.leafly.com/hybrid/atomic-goat
