flavors,parents_link,recommendations_notes,grow_info,parents_link/_source,strain_highlights,parents/_source,number_reviews,review,most_popular_in,name,parents/_alt,parents,pageUrl
1. Earthy 2. Nutty 3. Tropical,https://www.leafly.com/hybrid/og-kush,Moderate; Indoor; 60; Medium; Medium,Moderate; Indoor; 60; Medium; Medium,/hybrid/og-kush,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.; Most Helpful cheechnbongs215 8/11/2011 5:09 AM 8/11/2011 5:09 AM “hits you like a ton of bricks, i didnt even hit it but three times and completely forgot what i was doing, then ate two boxes of cereal” Read Full Review Report Abuse Most Recent knebs 3/2/2016 8:57 AM 3/2/2016 8:57 AM “This strain is pretty awesome. The indica effects were very strong. It gives you a very relaxed feeling and mellows you out completely. The sativa effects are mild but just enough to keep you awake and make you very euphoric. If I were to see some of this in the shop again, I would definitely buy some more.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false,3.9| 248 Reviews,3.9,"Los Angeles,CA Bothell, WA Detroit, MI; Detroit,MI Los Angeles, CA San Bernardino, CA",$100 OG,OG Kush,https://d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false,https://www.leafly.com/hybrid/100-og
1. Apricot 2. Blue Cheese 3. Citrus,https://www.leafly.com/indica/g-13,,,/indica/g-13,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.; Most Helpful ImsoAdHD 3/28/2015 11:32 PM 3/28/2015 11:32 PM “Very good strain for relax” Read Full Review Report Abuse Most Recent wineguy 11/26/2015 2:38 AM 11/26/2015 2:38 AM “Exceptional!” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/indica/g-13/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/chemdawg/badge?width=340&padding=false,4.7| 3 Reviews,4.7,"Portland, OR Damascus, OR; Hood River, OR",13 Dawgs,G13; Chemdawg,https://d3h17ltqi8v019.cloudfront.net/indica/g-13/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/chemdawg/badge?width=340&padding=false,https://www.leafly.com/hybrid/13-dawgs
1. Pungent 2. Pine 3. Earthy,https://www.leafly.com/hybrid/headband,,,/hybrid/headband,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.; Most Helpful cokionthbl 3/24/2014 5:58 AM 3/24/2014 5:58 AM “Got half a gram free for registering as a new patient at Tree House Collective in Vista CA. Sorry, just turned on veggie tales. Anyway I'm not usually a huge fan of indicas but this hybrid definitely relaxes you and makes your eyelids a tad heavy. The budtender called this stuff topshelf and no strain has made me feel like this (because of my tolerance) in a while.” Read Full Review Report Abuse Most Recent William.Maloney22 3/4/2016 10:00 PM 3/4/2016 10:00 PM “Very decent taste. Don't feel any pressure in head from the Headband, but solid Hybrid all the same.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/hybrid/headband/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false,4.4| 115 Reviews,4.4,"Portland, OR Aloha, OR Ann Arbor,MI Arcata,CA Bakersfield, CA; Bellevue, WA Bend, OR Berkeley, CA Black Canyon City,AZ Corvallis, OR",3 Kings,Headband; Sour Diesel; OG Kush,https://d3h17ltqi8v019.cloudfront.net/hybrid/headband/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false,https://www.leafly.com/hybrid/3-kings
1. Pungent 2. Earthy 3. Skunk,https://www.leafly.com/hybrid/skywalker-og,Moderate; 60; Medium; Medium,Moderate; 60; Medium; Medium,/hybrid/skywalker-og,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.; Most Helpful Bmt 6/25/2015 6:15 PM 6/25/2015 6:15 PM “Very potent and heavy strain. Two hits and I forgot where I was. Body feel want the best for me but still the strongest thing I smoked” Read Full Review Report Abuse Most Recent Turbofire 2/19/2016 5:42 PM 2/19/2016 5:42 PM “This is some fire shit that requires you to pay attention to how much you smoke/consume. I consider myself a veteran toker (20+ years) and 8 puffs had me in a time space dimensional trance, where ten minutes felt like an hour and an hour felt like ten minutes it was pretty intense.. Lasts hours.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/hybrid/skywalker-og/badge?width=340&padding=false,4.6| 24 Reviews,4.6,"Portland, OR Detroit, MI Corvallis,OR Escondido,CA Eugene, OR; Portland,OR Salem, OR Springfield, OR Trinidad,CO",501st OG,Skywalker OG,https://d3h17ltqi8v019.cloudfront.net/hybrid/skywalker-og/badge?width=340&padding=false,https://www.leafly.com/hybrid/501st-og
1. Earthy 2. Skunk 3. Diesel,https://www.leafly.com/sativa/sour-diesel,,,/sativa/sour-diesel,"This strain emerged from the Bay Area of California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.; Most Helpful cbiddy 4/13/2013 3:08 AM 4/13/2013 3:08 AM “If properly cured, this is a GREAT Strain for the daytime. When Vaporized, it has an earthy flavor, that is smooth on the lungs. The effects are almost instant, settle in slowly, and do not give the ""sleepy's"" when it wears off. I do find myself ""hyper focusing"" for time to time, but for the most part ""Headband"" helps me to stay focused through out the day, while keeping the stress level down.” Read Full Review Report Abuse Most Recent ManjadoesGanja 3/4/2016 5:51 PM 3/4/2016 5:51 PM “Sooo dank. Smells like earthy skunk with hints of diesel. Tastes skunky and sweet. Great strain to smoke before bed. The only thing that I didn't like is that it was a little harsh through a dry piece or joint but out of a bubbler or bong it's amazing. Overall 9.5/10” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/indica/master-kush/badge?width=340&padding=false,4.3| 125 Reviews,4.3,"Mesa, AZ Portland, OR Addison,IL Bainbridge Island, WA Bellevue, WA; Boston, MA Buckley,WA Deerfield, IL Denver, CO Denver,CO",707 Headband,Sour Diesel; OG Kush; Master Kush,https://d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/og-kush/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/indica/master-kush/badge?width=340&padding=false,https://www.leafly.com/hybrid/707-headband
1. Earthy 2. Woody 3. Sweet,https://www.leafly.com/sativa/sour-diesel,,,/sativa/sour-diesel,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.; Most Helpful kljlv7 11/19/2014 2:59 PM 11/19/2014 2:59 PM “Pretty amazing high, very potent. Don't plan on doing anything but relaxing after you smoke this strain.” Read Full Review Report Abuse Most Recent HighGradeHealth 2/11/2016 5:44 AM 2/11/2016 5:44 AM “Good all round medicine. I like that it embodies the better qualities of both Indica and Sativa. Not very appealing visually but I've noticed it packs some punch.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/indica/sour-bubble/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/indica/alien-dawg/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/chemdawg/badge?width=340&padding=false,3.8| 12 Reviews,3.8,"Portland, OR Beaverton, OR Boulder, CO; Longmont, CO Port Angeles,WA Santa Ana, CA",A-Dub,Sour Diesel; Sour Bubble; Alien Dawg; Chemdawg,https://d3h17ltqi8v019.cloudfront.net/sativa/sour-diesel/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/indica/sour-bubble/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/indica/alien-dawg/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/chemdawg/badge?width=340&padding=false,https://www.leafly.com/hybrid/a-dub
1. Earthy 2. Pungent 3. Woody,https://www.leafly.com/indica/mazar-i-sharif,,,/indica/mazar-i-sharif,A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck. This hybrid gives you the classic stoned feeling. Be ready for smiles and munchies when you jump on the A-Train.; Most Helpful Shmalberzhe-Moscow 5/1/2015 1:04 AM 5/1/2015 1:04 AM “Было дело” Read Full Review Report Abuse Most Recent gregME 12/19/2015 9:35 PM 12/19/2015 9:35 PM “” Read Full Review Report Abuse,//d3h17ltqi8v019.cloudfront.net/indica/mazar-i-sharif/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/trainwreck/badge?width=340&padding=false,3.9| 35 Reviews,3.9,"San Jose, CA Tacoma, WA; Wood Village, OR",A-Train,Mazar I Sharif; Trainwreck,https://d3h17ltqi8v019.cloudfront.net/indica/mazar-i-sharif/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/trainwreck/badge?width=340&padding=false,https://www.leafly.com/hybrid/a-train
1. Earthy 2. Woody 3. Citrus,https://www.leafly.com/hybrid/cannatonic,,,/hybrid/cannatonic,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.; Most Helpful Sarananona 5/30/2014 8:14 PM 5/30/2014 8:14 PM “Some reviewers report that medicine with high CBD and low THC don't get you ""high"" but that isn't the whole story. This makes it sound like the medicine doesn't alter the user's internal and/or external experience, which isn't true. Many people report that these high CBD/low THC medicinals bring on immediate relaxation, a sense of well-being and a very gentle tingling sensation. This has certainly been my experience....” Read Full Review Report Abuse Most Recent thirdeyeloverr 3/3/2016 7:29 PM 3/3/2016 7:29 PM “I'm loving this strain AC/DC from Woodinville Quality Collective. A awesome strain if you want to experience euphoria without experiencing any psychosis. It takes you into relaxation 💜💕💜” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/hybrid/cannatonic/badge?width=340&padding=false,4.3| 206 Reviews,4.3,"Portland, OR Seattle, WA Eugene, OR Portland,OR Everett, WA; Ashland, OR Bellevue, WA Colorado Springs,CO Denver,CO Hillsboro,OR",ACDC,Cannatonic,https://d3h17ltqi8v019.cloudfront.net/hybrid/cannatonic/badge?width=340&padding=false,https://www.leafly.com/hybrid/acdc
1. Earthy 2. Pungent 3. Sweet,https://www.leafly.com/sativa/south-american,,,/sativa/south-american,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.; Most Helpful someguy2448 6/19/2011 10:45 PM 6/19/2011 10:45 PM “Walked on the streets for over 2 hours while listening to music. Very uplifting out of body experience. You also start to get very creative. Your mind is overflowing with ideas. You can also feel the wind very nicely. Wind makes you tingly. Everything seems like a dream or footage of a music video. Can make you a little dizzy sometimes. Makes you very relaxed to the point you would easily sleep. You FEEL the music. ...” Read Full Review Report Abuse Most Recent robnto 3/4/2016 3:12 PM 3/4/2016 3:12 PM “One of the best strains I've ever tried and a perfect blend of a wild-ride, heady sativa with a chilled out indica vibe. As a daily smoker, I had an intense psychedelic experience after my first J from the batch that reminded me of getting high the first few times (or even tripping!). It was awesome--highly recommended for those of us who love the spiritual, psychedelic side of weed.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/sativa/south-american/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/sativa/mexican/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/sativa/thai/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/indica/afghani/badge?width=340&padding=false,4.1| 1140 Reviews,4.1,"Portland, OR Los Angeles,CA Seattle, WA Spokane, WA Bellingham, WA; Eugene, OR Scottsdale, AZ Buckley,WA Gilbert, AZ Spokane Valley, WA",AK-47,South American; Mexican; Thai; Afghani,https://d3h17ltqi8v019.cloudfront.net/sativa/south-american/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/sativa/mexican/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/sativa/thai/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/indica/afghani/badge?width=340&padding=false,https://www.leafly.com/hybrid/ak-47
1. Sweet 2. Citrus 3. Orange,https://www.leafly.com/hybrid/ice,56,56,/hybrid/ice,"Although it is a hybrid, the AK-48 high leans more towards typical sativa effects. AK-48's parents are Ice and Jock Horror. Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.; Most Helpful DrDKush 1/28/2012 3:05 AM 1/28/2012 3:05 AM “this strain was amazing, got an 1.5 oz, the high was a creeper but it was defiantly a couch lock after the third load into the bong. smoked a blunt with a friend, we got lost in the taco bell restroom, not for new smokers.” Read Full Review Report Abuse Most Recent groovedeville 3/2/2016 1:28 AM 3/2/2016 1:28 AM “Great for stress and depression. I am finally able to relax. thank you.” Read Full Review Report Abuse",//d3h17ltqi8v019.cloudfront.net/hybrid/ice/badge?width=340&padding=false; //d3h17ltqi8v019.cloudfront.net/hybrid/jock-horror/badge?width=340&padding=false,3.9| 99 Reviews,3.9,"East Wenatchee,WA Medford, OR; Portland,OR South Bend,WA",AK-48,Ice; Jock Horror,https://d3h17ltqi8v019.cloudfront.net/hybrid/ice/badge?width=340&padding=false; https://d3h17ltqi8v019.cloudfront.net/hybrid/jock-horror/badge?width=340&padding=false,https://www.leafly.com/hybrid/ak-48
