effects,name,pageUrl
Effects Medical Negatives Relaxed Euphoric Uplifted Happy Focused Depression Stress Insomnia Pain Lack of Appetite Anxious Dry Mouth Paranoid Dry Eyes Dizzy,$100 OG,https://www.leafly.com/hybrid/100-og
Effects Medical Negatives Happy Relaxed Dry Mouth Uplifted Energetic Depression Fatigue Muscle Spasms Headaches Lack of Appetite Anxious Headache,13 Dawgs,https://www.leafly.com/hybrid/13-dawgs
Effects Medical Negatives Relaxed Happy Uplifted Euphoric Creative Stress Depression Lack of Appetite Pain Headaches Anxious Dry Eyes Dry Mouth Dizzy Headache,3 Kings,https://www.leafly.com/hybrid/3-kings
Effects Medical Negatives Relaxed Happy Sleepy Euphoric Hungry Stress Insomnia Depression Lack of Appetite Pain Dry Mouth Anxious,501st OG,https://www.leafly.com/hybrid/501st-og
Effects Medical Negatives Relaxed Uplifted Euphoric Creative Happy Stress Pain Depression Lack of Appetite Nausea Dry Mouth Dry Eyes Paranoid Dizzy Headache,707 Headband,https://www.leafly.com/hybrid/707-headband
Effects Medical Negatives Relaxed Focused Happy Hungry Euphoric Depression Stress Lack of Appetite Muscle Spasms Seizures Dry Mouth,A-Dub,https://www.leafly.com/hybrid/a-dub
Effects Medical Negatives Euphoric Relaxed Uplifted Tingly Happy Insomnia Cramps Fatigue Eye Pressure Stress Dry Mouth Paranoid Dry Eyes Anxious Headache,A-Train,https://www.leafly.com/hybrid/a-train
Effects Medical Negatives Relaxed Focused Happy Uplifted Energetic Pain Stress Muscle Spasms Inflammation Depression Dizzy Dry Mouth Anxious Dry Eyes Paranoid,ACDC,https://www.leafly.com/hybrid/acdc
Effects Medical Negatives Happy Euphoric Relaxed Uplifted Creative Stress Depression Pain Insomnia Fatigue Dry Mouth Dry Eyes Dizzy Paranoid Headache,AK-47,https://www.leafly.com/hybrid/ak-47
Effects Medical Negatives Happy Relaxed Uplifted Euphoric Energetic Stress Depression Lack of Appetite Pain Nausea Dry Mouth Dry Eyes Paranoid Dizzy Headache,AK-48,https://www.leafly.com/hybrid/ak-48
Effects Medical Creative Dry Eyes Dry Mouth Euphoric Giggly Depression Headaches Lack of Appetite Muscle Spasms Nausea,Aberdeen,https://www.leafly.com/hybrid/aberdeen
Effects Medical Negatives Happy Euphoric Focused Relaxed Giggly Pain Depression Headaches Stress Insomnia Dry Mouth Dry Eyes Dizzy Paranoid Anxious,Afghan Diesel,https://www.leafly.com/hybrid/afghan-diesel
Effects Medical Negatives Relaxed Euphoric Happy Uplifted Creative Depression Stress Pain Lack of Appetite Nausea Dizzy,Afghan Haze,https://www.leafly.com/hybrid/afghan-haze
