medical,name,pageUrl
Insomnia; Stress; Depression; Headaches; Pain,$100 OG,https://www.leafly.com/hybrid/100-og
Depression; Fatigue; Muscle Spasms; Headaches; Lack of Appetite,13 Dawgs,https://www.leafly.com/hybrid/13-dawgs
Depression; Stress; Lack of Appetite; Pain; Headaches,3 Kings,https://www.leafly.com/hybrid/3-kings
Insomnia; Stress; Pain; Depression; Lack of Appetite,501st OG,https://www.leafly.com/hybrid/501st-og
Stress; Pain; Depression; Insomnia; Lack of Appetite,707 Headband,https://www.leafly.com/hybrid/707-headband
Depression; Lack of Appetite; Stress; Muscle Spasms; Seizures,A-Dub,https://www.leafly.com/hybrid/a-dub
Stress; Depression; Insomnia; Cramps; Fatigue,A-Train,https://www.leafly.com/hybrid/a-train
Pain; Stress; Muscle Spasms; Inflammation; Depression,ACDC,https://www.leafly.com/hybrid/acdc
Stress; Depression; Pain; Fatigue; Insomnia,AK-47,https://www.leafly.com/hybrid/ak-47
Stress; Depression; Lack of Appetite; Pain; Nausea,AK-48,https://www.leafly.com/hybrid/ak-48
Depression; Headaches; Lack of Appetite; Muscle Spasms; Nausea,Aberdeen,https://www.leafly.com/hybrid/aberdeen
Pain; Depression; Headaches; Stress; Insomnia,Afghan Diesel,https://www.leafly.com/hybrid/afghan-diesel
Depression; Stress; Pain; Lack of Appetite; Nausea,Afghan Haze,https://www.leafly.com/hybrid/afghan-haze
Stress; Pain; Insomnia; Depression; Lack of Appetite,Afghanica,https://www.leafly.com/hybrid/afghanica
Pain; Lack of Appetite; Stress; Depression; Insomnia,Afwreck,https://www.leafly.com/hybrid/afwreck
Stress; Depression; Pain; Fatigue; Headaches,Agent Orange,https://www.leafly.com/hybrid/agent-orange
Eye Pressure; Pain; Stress,Alaska Thunder Grape,https://www.leafly.com/hybrid/alaska-thunder-grape
Pain; Stress; Insomnia; Depression; Lack of Appetite,Albert Walker,https://www.leafly.com/hybrid/albert-walker
Eye Pressure; Insomnia; Pain; Stress,Alchemy,https://www.leafly.com/hybrid/alchemy
,Alf,https://www.leafly.com/hybrid/alf
Stress; Nausea; Pain; Cramps; Depression,Alien Asshat,https://www.leafly.com/hybrid/alien-asshat
Depression; Stress; Eye Pressure; Fatigue; Headaches,Alien Hallucination,https://www.leafly.com/hybrid/alien-hallucination
Depression; Fatigue; Muscle Spasms; Pain; Stress,Alien Inferno,https://www.leafly.com/hybrid/alien-inferno
Stress; Depression; Pain; Insomnia; Headaches,Alien OG,https://www.leafly.com/hybrid/alien-og
Headaches; Inflammation; Lack of Appetite; Muscle Spasms; Pain,Alien Reunion,https://www.leafly.com/hybrid/alien-reunion
Stress; Pain; Depression; Insomnia; Muscle Spasms,Alien Rock Candy,https://www.leafly.com/hybrid/alien-rock-candy
,Alien Sour Apple,https://www.leafly.com/hybrid/alien-sour-apple
Stress; Pain; Depression; Nausea; Lack of Appetite,Alohaberry,https://www.leafly.com/hybrid/alohaberry
Stress; Pain; Depression; Lack of Appetite; Headaches,Alpha OG,https://www.leafly.com/hybrid/alpha-og
Depression; Inflammation; Muscle Spasms; Nausea; Pain,Alpine Blue,https://www.leafly.com/hybrid/alpine-blue
Stress; Depression; Nausea; Headaches; Pain,Ambrosia,https://www.leafly.com/hybrid/ambrosia
Pain; Fatigue; Nausea; Stress,American Dream,https://www.leafly.com/hybrid/american-dream
,Amethyst,https://www.leafly.com/hybrid/amethyst
Stress; Pain; Depression; Insomnia; Lack of Appetite,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies
Stress; Depression; Pain; Fatigue; Lack of Appetite,Apollo 11,https://www.leafly.com/hybrid/apollo-11
Stress; Depression; Insomnia; Lack of Appetite; Muscle Spasms,Apollo 13,https://www.leafly.com/hybrid/apollo-13
Pain; Depression; Lack of Appetite; Muscle Spasms; Stress,Appalachia,https://www.leafly.com/hybrid/appalachia
,Arctic Sun,https://www.leafly.com/hybrid/arctic-sun
Insomnia; Stress; Depression; Pain; Headaches,ArcticBlue,https://www.leafly.com/hybrid/arcticblue
Headaches; Pain; Stress; Depression; Fatigue,Armageddon,https://www.leafly.com/hybrid/armageddon
Insomnia; Stress,Armagnac,https://www.leafly.com/hybrid/armagnac
Pain; Stress; Depression; Eye Pressure; Headaches,Ash,https://www.leafly.com/hybrid/ash
Stress; Lack of Appetite; Pain; Depression; Insomnia,Atmosphere,https://www.leafly.com/hybrid/atmosphere
Stress; Pain; Headaches; Muscle Spasms; Depression,Atomic Goat,https://www.leafly.com/hybrid/atomic-goat
Stress; Depression; Pain; Eye Pressure; Headaches,Atomic Northern Lights,https://www.leafly.com/hybrid/atomic-northern-lights
Pain; Nausea; Stress; Insomnia,Avalon,https://www.leafly.com/hybrid/avalon
,Avi,https://www.leafly.com/hybrid/avi
Pain; Stress; Muscle Spasms; Inflammation; Fatigue,Avi-Dekel,https://www.leafly.com/hybrid/avi-dekel
Pain,B4,https://www.leafly.com/hybrid/b4
