negatives,name,pageUrl
Anxious; Dry Mouth; Paranoid; Dry Eyes; Dizzy,$100 OG,https://www.leafly.com/hybrid/100-og
Anxious; Headache,13 Dawgs,https://www.leafly.com/hybrid/13-dawgs
Anxious; Dry Eyes; Dry Mouth; Dizzy; Headache,3 Kings,https://www.leafly.com/hybrid/3-kings
Dry Mouth; Anxious,501st OG,https://www.leafly.com/hybrid/501st-og
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,707 Headband,https://www.leafly.com/hybrid/707-headband
Dry Mouth,A-Dub,https://www.leafly.com/hybrid/a-dub
Dry Mouth; Paranoid; Dry Eyes; Anxious; Headache,A-Train,https://www.leafly.com/hybrid/a-train
Dizzy; Dry Mouth; Anxious; Dry Eyes; Paranoid,ACDC,https://www.leafly.com/hybrid/acdc
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,AK-47,https://www.leafly.com/hybrid/ak-47
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,AK-48,https://www.leafly.com/hybrid/ak-48
,Aberdeen,https://www.leafly.com/hybrid/aberdeen
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Anxious,Afghan Diesel,https://www.leafly.com/hybrid/afghan-diesel
Dizzy,Afghan Haze,https://www.leafly.com/hybrid/afghan-haze
Dry Mouth; Dizzy; Dry Eyes,Afghanica,https://www.leafly.com/hybrid/afghanica
Dry Mouth; Dry Eyes; Dizzy; Headache; Paranoid,Afwreck,https://www.leafly.com/hybrid/afwreck
Dry Mouth; Dry Eyes; Headache; Paranoid; Dizzy,Agent Orange,https://www.leafly.com/hybrid/agent-orange
,Alaska Thunder Grape,https://www.leafly.com/hybrid/alaska-thunder-grape
Dizzy; Dry Mouth; Paranoid; Dry Eyes; Headache,Albert Walker,https://www.leafly.com/hybrid/albert-walker
,Alchemy,https://www.leafly.com/hybrid/alchemy
,Alf,https://www.leafly.com/hybrid/alf
Dizzy; Dry Mouth,Alien Asshat,https://www.leafly.com/hybrid/alien-asshat
,Alien Hallucination,https://www.leafly.com/hybrid/alien-hallucination
,Alien Inferno,https://www.leafly.com/hybrid/alien-inferno
Dry Mouth; Dizzy; Dry Eyes; Headache; Paranoid,Alien OG,https://www.leafly.com/hybrid/alien-og
,Alien Reunion,https://www.leafly.com/hybrid/alien-reunion
Dry Mouth; Dry Eyes; Paranoid; Anxious,Alien Rock Candy,https://www.leafly.com/hybrid/alien-rock-candy
,Alien Sour Apple,https://www.leafly.com/hybrid/alien-sour-apple
Dry Mouth; Dry Eyes; Paranoid,Alohaberry,https://www.leafly.com/hybrid/alohaberry
Dry Mouth; Dizzy; Dry Eyes; Paranoid,Alpha OG,https://www.leafly.com/hybrid/alpha-og
,Alpine Blue,https://www.leafly.com/hybrid/alpine-blue
